,mars,moon_col_1,resourcefulness,chron_dist,saturn,emot_vol,ingenuity,moon_col_2,collaboration,env_destr,earth,jupiter,sex,brain_wave,given_name,surname,zipcode,date_of_birth,state,class
14,0.65,0.07,0.31667670247551105,0.6461382922791545,1082,nan,-1.0459868701469073,0.03,0.6461382922791545,0.9747766453783846,0.65,15132,'egg',ALPHA,Cynthia,Davis,41770,1937-04-03,'North Carolina',1
15,0.6,0.07,0.31032433871371357,0.5989559624541303,1596,nan,-1.0457831587211495,0.03,0.5989559624541303,-1.0997755780798,0.6,15028,'egg',THETA,Samantha,Zimmerman,60234,1997-10-04,'Kansas',0
16,0.25,0.07,0.1376105641028199,0.24976611727953732,1751,0.24976611727953732,-0.47335818830108733,0.03,0.24976611727953732,-1.4386204413149606,0.25,11796,'egg',BETA,Jacqueline,Sampson,64784,2008-12-07,'Colorado',0
17,0.5,0.07,0.2595879089851191,nan,1821,0.4971208518979493,-0.8771763879979559,0.03,0.4971208518979493,-1.1546994471698686,0.5,12791,'egg',BETA,Ann,Brock,97956,1978-09-08,'Oklahoma',0
18,0.9,0.07,0.43955130463740194,0.8973963308381672,1070,0.8973963308381672,-1.45151031152469,0.03,0.8973963308381672,1.3859182227177431,0.9,18944,'seed',BETA,Evan,Thompson,75669,1938-06-17,'Pennsylvania',1
19,0.7,0.07,0.34223622607762094,0.6991036900888825,2258,0.6991036900888825,-1.1299157571516825,0.03,0.6991036900888825,1.1023613435568353,0.7,25817,'egg',BETA,Carol,Stephens,51398,1915-04-17,nan,1
20,1.9,0.07,0.9335759511433787,1.904168957812123,1852,1.904168957812123,-3.0840211609362114,0.03,1.904168957812123,2.833248518348763,1.9,20477,'seed',ALPHA,Todd,Martin,01733,1939-07-03,'Wisconsin',1
21,0.78,0.07,0.39492143674387564,0.7756615706048678,1368,0.7756615706048678,-1.322721346553776,0.03,0.7756615706048678,-0.5934031745416841,0.78,10726,nan,ALPHA,Dawn,Salazar,50261,1994-08-20,'South Dakota',0
22,1.0,0.07,0.5048130675036969,0.9981511694487393,1653,0.9981511694487393,-1.6867452364282531,0.03,0.9981511694487393,-0.35904110737778405,1.0,19234,'seed',THETA,Justin,Kelly,71039,1990-02-18,'Mississippi',0
23,0.19,0.07,0.10888153874877891,0.19061445062001284,2146,0.19061445062001284,-0.3787899694407688,0.03,0.19061445062001284,-1.559105497166838,0.19,26660,'seed',BETA,Charles,Russell,53151,2003-09-09,'Virginia',0
24,0.72,0.07,0.3661087310865663,nan,1402,nan,-1.228311836266957,0.03,0.7156225583267348,-0.7571784388988299,0.72,26867,'egg',BETA,Karina,Mullins,15463,1955-08-13,'Georgia',0
25,0.15,0.07,0.07523630044423758,0.15429864293503184,1099,0.15429864293503184,-0.2480275674119129,0.03,0.15429864293503184,0.27894397794294146,0.15,18901,'seed',THETA,Mark,Gilmore,17253,1928-02-25,'Louisiana',1
26,0.95,0.07,0.48279756817729486,0.9507966729064784,2449,0.9507966729064784,-1.6155060643467123,0.03,0.9507966729064784,-0.5730123065374677,0.95,24089,'egg',ALPHA,Megan,Johnson,69611,2019-02-15,'Louisiana',0
27,-0.04,0.07,-0.007826323770087414,-0.044836350923230815,1256,-0.044836350923230815,-0.008322672359716954,0.03,0.044836350923230815,-1.7576142987924794,-0.04,12248,'seed',ALPHA,Dave,Ford,65458,2024-03-30,'Arizona',0
28,1.44,0.07,0.7057632047286538,1.4414629075633907,2913,1.4414629075633907,-2.330267768878029,0.03,1.4414629075633907,2.2591175762617537,1.44,13963,'seed',BETA,William,Jimenez,47350,2017-02-22,'Kansas',1
29,0.5,0.07,0.26126720224580974,0.5007619550568965,1222,0.5007619550568965,-0.8825927406971904,0.03,0.5007619550568965,-1.1366362769163625,0.5,13844,'seed',ALPHA,John,Nixon,57917,1976-07-14,'Alaska',0
30,0.76,0.07,0.3737125181492809,0.7632869168240132,1057,0.7632869168240132,-1.2339066795459237,0.03,0.7632869168240132,1.1968407014240383,0.76,25057,'seed',ALPHA,Andrew,Jackson,21236,1926-07-14,'Alaska',1
31,0.63,0.07,0.326767819550139,0.6344567742111478,1514,0.6344567742111478,-1.0989121822869998,0.03,0.6344567742111478,-0.9320620010026774,0.63,19094,'egg',THETA,Christina,Hill,27845,1956-06-30,'New Mexico',0
32,0.1,0.07,0.047093925311598894,0.09602252348272533,1875,0.09602252348272533,-0.15559222992174138,0.03,0.09602252348272533,0.1409622153672878,0.1,17572,'egg',ALPHA,Elizabeth,Cunningham,56125,1932-10-03,nan,1
33,0.7,0.07,0.3615886389661176,0.7032389553798886,2541,0.7032389553798886,-1.2153011583217863,0.03,0.7032389553798886,-0.960907737755308,0.7,14957,'egg',BETA,April,Villarreal,54513,2014-02-07,'Maine',0
34,-0.53,0.07,0.25972294016939035,-0.5288535092914988,2759,-0.5288535092914988,-0.8585224088380417,0.03,0.5288535092914988,-0.734735143472977,-0.53,16435,'seed',ALPHA,Hector,Hayes,15948,1971-06-29,'California',1
35,0.39,0.07,0.20528647590750235,nan,2271,0.3853524099871831,-0.6984090891945828,0.03,0.3853524099871831,-1.38029524897474,0.39,26970,'seed',BETA,Daniel,Hopkins,49650,1986-09-14,'Virginia',0
36,0.6,0.07,0.3072535261696328,0.5969162692834736,1119,0.5969162692834736,-1.0330743640876443,0.03,0.5969162692834736,-0.8554599250772782,0.6,10014,'egg',BETA,Erica,Randolph,13308,1999-01-23,'Arkansas',0
37,1.08,0.07,0.542779460414898,1.075119737586456,2527,1.075119737586456,-1.8124504436119835,0.03,1.075119737586456,-0.2720201158720802,1.08,12140,'seed',ALPHA,David,Wright,95828,1926-08-13,'Washington',0
38,-0.13,0.07,0.06420735524544684,-0.13115696758579173,2378,-0.13115696758579173,-0.2119865274602617,0.03,0.13115696758579173,-0.20665157999902295,-0.13,12481,'egg',ALPHA,Anna,Palmer,76770,1931-11-28,'Nebraska',1
39,0.1,0.07,0.047093925311598894,0.09602252348272533,1875,0.09602252348272533,-0.15559222992174138,0.03,0.09602252348272533,0.1409622153672878,0.1,17572,'egg',ALPHA,Elizabeth,Cunningham,56125,1932-10-03,nan,1
40,0.35,0.07,0.18804405315172731,0.3534922401893755,2650,0.3534922401893755,-0.6394408651942408,0.03,0.3534922401893755,-1.233954774355437,0.35,13791,'seed',ALPHA,Vernon,Waters,22749,1993-04-22,'South Dakota',0
41,0.3,0.07,0.14796724042611123,0.3043102687535842,1848,0.3043102687535842,-0.4872790713265166,0.03,0.3043102687535842,0.5997088157524395,0.3,16809,'seed',ALPHA,Jeffrey,Bowman,49282,2011-01-20,'Missouri',1
42,0.08,0.07,0.03790609568383,0.07871283165584508,1714,0.07871283165584508,-0.12437227167482123,0.03,0.07871283165584508,0.19896732762144942,0.08,11087,'egg',ALPHA,Katrina,Meyers,10451,1972-09-18,nan,1
43,0.43,0.07,0.22543089031394076,0.4286422540201317,2056,0.4286422540201317,-0.7636179834755972,0.03,0.4286422540201317,-1.1869125921324102,0.43,29161,'egg',ALPHA,Megan,Smith,34414,1947-05-01,'Ohio',0
44,0.89,0.07,0.43667849592708063,0.8920718348164103,1190,0.8920718348164103,-1.4416952753767083,0.03,0.8920718348164103,1.4093286103001743,0.89,12498,'egg',THETA,Melanie,Shields,27925,1959-07-04,nan,1
45,0.58,0.07,0.30067118950030075,0.5821376706367395,1735,nan,-1.012151411551496,0.03,0.5821376706367395,-0.9566804399048164,0.58,21826,'egg',ALPHA,Jessica,Hunt,27341,1922-04-04,'Oregon',0
46,0.85,0.07,0.43125328037481286,0.8454347062124686,2824,0.8454347062124686,-1.4453715222489083,0.03,0.8454347062124686,-0.7432293556097886,0.85,27637,'seed',ALPHA,Joseph,Myers,20639,1935-08-21,'Delaware',0
47,1.12,0.07,0.5473348853706805,1.1175992749551842,2130,1.1175992749551842,-1.8073481021552653,0.03,1.1175992749551842,1.734766351559859,1.12,12377,'seed',ALPHA,John,Castillo,95929,2014-03-03,'Maryland',1
48,0.33,0.07,0.17573204164822026,0.32557952615239216,2295,0.32557952615239216,-0.6004691541690629,0.03,0.32557952615239216,-1.439491850963059,0.33,15896,'egg',ALPHA,Kristen,Green,13165,1919-12-10,'New York',0
49,0.3,0.07,0.16295502457357208,0.30231457085123886,1186,0.30231457085123886,-0.556563443640409,0.03,0.30231457085123886,-1.3103847593164402,0.3,28217,'seed',THETA,Kyle,Brown,97239,1918-11-16,'Montana',0
50,0.97,0.07,0.4753122298534472,0.9711108100760895,2635,0.9711108100760895,-1.5691743624106147,0.03,0.9711108100760895,1.5409665968359358,0.97,12013,'egg',THETA,Patricia,Bauer,12434,1947-03-28,'Oregon',1
51,1.04,0.07,0.5104469796430775,1.0425315223737166,2806,1.0425315223737166,-1.6853871208648754,0.03,1.0425315223737166,1.6330679750615706,1.04,12660,'seed',BETA,Francisco,Williams,11231,1961-02-01,'Missouri',1
52,1.11,0.07,0.5588356759944542,nan,1391,1.105439758749138,-1.8669662031211005,0.03,1.105439758749138,-0.3691580909555625,1.11,13120,'seed',BETA,Michael,Martinez,74312,1981-11-06,'Alabama',0
53,0.48,0.07,0.2516328901859715,0.48080029560763254,1958,0.48080029560763254,-0.8509551235190217,0.03,0.48080029560763254,-1.1845521590019015,0.48,22034,'egg',ALPHA,Sandra,Lyons,01147,2021-07-14,'Rhode Island',0
54,0.36,0.07,0.17533232052109773,0.35818106261614246,2564,0.35818106261614246,-0.5788588355399226,0.03,0.35818106261614246,0.5659941466438757,0.36,16207,'seed',BETA,Brett,Beck,66198,2022-07-31,'Arizona',1
55,0.07,0.07,0.03161552672628177,0.06651566115029182,2215,0.06651566115029182,-0.10320711303165564,0.03,0.06651566115029182,0.2179121324357699,0.07,18880,'egg',ALPHA,Whitney,Schneider,09294,1933-12-13,'Nevada',1
56,0.43,0.07,0.2274777633077819,0.43481104642687823,2342,0.43481104642687823,-0.7691690876627748,0.03,0.43481104642687823,nan,0.43,28314,'egg',ALPHA,Jamie,Schultz,10637,1928-01-01,'Nebraska',0
57,0.72,0.07,0.3661087310865663,nan,1402,nan,-1.228311836266957,0.03,0.7156225583267348,-0.7571784388988299,0.72,26867,'egg',BETA,Karina,Mullins,15463,1955-08-13,'Georgia',0
58,1.2,0.07,0.5872195438421006,1.1996710026473385,1854,1.1996710026473385,-1.9386673202497136,0.03,1.1996710026473385,1.8991032088393323,1.2,24968,'seed',BETA,James,Bray,76016,1927-04-25,'Colorado',1
59,0.42,0.07,0.2061385178130125,0.4226527494117965,1084,0.4226527494117965,-0.6796311258278125,0.03,0.4226527494117965,0.7578367240551569,0.42,17317,'egg',THETA,Briana,Hughes,37980,1958-06-21,'Delaware',1
60,0.76,0.07,0.3736663060239089,0.7639026497557254,1764,nan,-1.233322932276001,0.03,0.7639026497557254,1.2393357210507054,0.76,14386,'seed',BETA,Victor,Jackson,88109,1953-05-29,'Pennsylvania',1
61,0.31,0.07,0.16792923555568737,0.311499524218276,2683,0.311499524218276,-0.5735788122787628,0.03,0.311499524218276,-1.3529794304762326,0.31,29586,'seed',BETA,Jonathan,Macias,97385,1981-06-05,'Nevada',0
62,1.9,0.07,0.930361804490739,1.8979820376228824,2962,1.8979820376228824,-3.0731794530216816,0.03,1.8979820376228824,nan,1.9,19930,'egg',THETA,Andrea,Ellis,29374,1934-03-13,'Utah',1
63,1.12,0.07,0.5668205131094809,1.1213584522363065,2558,1.1213584522363065,-1.8935668996655775,0.03,1.1213584522363065,-0.3669991819356311,1.12,14503,'seed',BETA,William,Johnson,90804,1935-10-23,'Vermont',0
64,1.37,0.07,0.6689484644232477,1.3651706704376674,2411,1.3651706704376674,-2.209382572063319,0.03,1.3651706704376674,2.075148808264167,1.37,17877,'egg',BETA,Kathryn,Pugh,85408,1912-06-03,'Nevada',1
65,0.4,0.07,0.19576007067413156,0.4009130344842439,1796,0.4009130344842439,-0.6456933312120676,0.03,0.4009130344842439,0.6920325714869127,0.4,12097,'seed',THETA,James,Robinson,10961,2003-02-26,'Tennessee',1
66,0.48,0.07,0.2516328901859715,0.48080029560763254,1958,0.48080029560763254,-0.8509551235190217,0.03,0.48080029560763254,-1.1845521590019015,0.48,22034,'egg',ALPHA,Sandra,Lyons,01147,2021-07-14,'Rhode Island',0
67,0.67,0.07,0.3448485788591452,0.6712605316051097,1545,0.6712605316051097,-1.158686403273979,0.03,0.6712605316051097,-0.8816743575176016,0.67,28959,'seed',ALPHA,James,Schmidt,49268,1988-06-13,'Louisiana',0
68,0.41,0.07,0.21590817548294852,0.4104214817230537,1769,0.4104214817230537,-0.7314302038801814,0.03,0.4104214817230537,-1.143617224685064,0.41,16275,'seed',THETA,John,Mitchell,07896,1940-02-05,'California',0
69,0.19,0.07,0.10944289168332741,0.19140526758787962,1223,0.19140526758787962,-0.38085939978557004,0.03,0.19140526758787962,-1.5786686084494566,0.19,20910,'seed',THETA,Juan,Sullivan,59890,1974-08-02,'South Carolina',0
70,-0.14,0.07,0.06822216015506508,-0.13818756563029264,1585,-0.13818756563029264,-0.2259524646553126,0.03,0.13818756563029264,-0.14928516917504275,-0.14,22550,'seed',BETA,Zachary,Dean,30502,1995-08-10,'Nevada',1
71,1.96,0.07,0.9610878786684185,1.9611907551997962,1644,1.9611907551997962,-3.174354677420214,0.03,1.9611907551997962,2.9712128279034298,1.96,19263,'egg',THETA,Gabriela,Hernandez,65045,1948-05-07,'Wisconsin',1
72,0.01,0.07,0.004138808286037245,0.010239937594137325,1563,0.010239937594137325,-0.012580514469754167,0.03,0.010239937594137325,0.12054433974526912,0.01,25227,'egg',BETA,Catherine,Brooks,19847,1938-04-24,'Louisiana',1
73,0.06,0.07,0.028028323492120717,0.059030560293410646,1833,0.059030560293410646,-0.09145925169210489,0.03,0.059030560293410646,0.19690951820899905,0.06,12432,nan,BETA,Rhonda,Conrad,71937,1968-06-05,'Connecticut',1
74,1.15,0.07,0.5618382357059534,1.1471758047844731,1704,1.1471758047844731,-1.8552623719076637,0.03,1.1471758047844731,1.7784669170105696,1.15,18950,'egg',BETA,Christine,Faulkner,07968,1951-12-12,'Massachusetts',1
75,-0.05,0.07,0.024798284344398267,-0.0498030402206565,2525,-0.0498030402206565,-0.08239153806368615,0.03,0.0498030402206565,-0.02861136539561704,-0.05,23893,'egg',THETA,Taylor,Wang,66849,1925-07-28,'Minnesota',1
76,0.35,0.07,0.1864662113233022,0.35137231160624555,1482,0.35137231160624555,-0.6335616731099493,0.03,0.35137231160624555,-1.1727886690275668,0.35,11243,'seed',THETA,John,Hall,28534,1967-07-24,'Kansas',0
77,0.83,0.07,0.4216775167619288,nan,2954,0.8275034149968136,-1.4127670360901916,0.03,0.8275034149968136,-0.676213953019394,0.83,20437,'seed',THETA,Scott,Ramos,99643,1910-11-21,'Texas',0
78,0.45,0.07,0.2218046905745588,0.45269177420769047,1953,0.45269177420769047,-0.7325459737566835,0.03,0.45269177420769047,0.6904143344556382,0.45,14745,'seed',THETA,Michael,Hall,27409,1928-02-09,'New York',1
79,1.9,0.07,0.9318341688696232,1.9018350509540138,2641,1.9018350509540138,-3.0775272941671123,0.03,1.9018350509540138,2.9011473579560043,1.9,21827,'seed',THETA,Daniel,Hernandez,65197,2008-08-08,'Colorado',1
80,1.43,0.07,0.7010379185597572,1.4326644921986746,1123,1.4326644921986746,-2.3141482893182737,0.03,1.4326644921986746,2.295190664749195,1.43,10350,'egg',BETA,Claudia,Dennis,51471,1983-06-11,'Virginia',1
81,1.08,0.07,0.542779460414898,1.075119737586456,2527,1.075119737586456,-1.8124504436119835,0.03,1.075119737586456,-0.2720201158720802,1.08,12140,'seed',ALPHA,David,Wright,95828,1926-08-13,'Washington',0
82,-0.14,0.07,0.06822216015506508,-0.13818756563029264,1585,-0.13818756563029264,-0.2259524646553126,0.03,0.13818756563029264,-0.14928516917504275,-0.14,22550,'seed',BETA,Zachary,Dean,30502,1995-08-10,'Nevada',1
83,0.72,0.07,0.36819047069169925,0.7201878624832041,2710,0.7201878624832041,-1.2349948980838152,0.03,0.7201878624832041,-0.7316876268515973,0.72,18353,'seed',ALPHA,Cody,Christensen,20142,1943-12-25,'Texas',0
84,0.32,0.07,0.17167183183120804,0.3192024654902264,1605,0.3192024654902264,-0.585900182072391,0.03,0.3192024654902264,-1.3374566622833928,0.32,15771,'egg',BETA,Tracy,Rogers,14597,2017-06-20,'New Mexico',0
85,0.17,0.07,0.09744104852199609,0.1696114864620639,1965,0.1696114864620639,-0.3395811718162105,0.03,0.1696114864620639,-1.4538091449438244,0.17,24767,'egg',ALPHA,Sarah,Mccoy,34896,1948-12-18,'Delaware',0
86,0.14,0.07,0.06833435753769751,0.14083430290263102,1947,0.14083430290263102,-0.224855018583074,0.03,0.14083430290263102,0.2948215348885572,0.14,13910,'egg',THETA,Ashley,Lindsey,54565,1934-06-05,'Wisconsin',1
87,0.57,0.07,0.29736414356478363,0.5743974501232199,2272,0.5743974501232199,-1.0018308917601182,0.03,0.5743974501232199,-1.0264671726996433,0.57,10651,'egg',THETA,Kimberly,Hayes,81982,1914-01-23,'Illinois',0
88,1.06,0.07,0.5178567338109061,1.056203587810119,1874,1.056203587810119,-1.7107399590543653,0.03,1.056203587810119,1.5690077444386896,1.06,10783,'egg',BETA,Stephanie,Romero,36611,1943-08-01,'Montana',1
89,0.76,0.07,0.37379895397081825,0.7635572585638787,1171,0.7635572585638787,-1.2341351154739715,0.03,0.7635572585638787,1.2027503449408214,0.76,10376,'seed',THETA,Brett,Zimmerman,25102,1918-12-30,'Alaska',1
90,0.5,0.07,0.243326295535802,0.4964083254019009,1712,0.4964083254019009,-0.8037508088081914,0.03,0.4964083254019009,0.7449192579462965,0.5,28388,'seed',ALPHA,Cody,Salazar,26613,1925-10-22,'Rhode Island',1
91,1.1,0.07,0.5559351972343402,1.0990684991336381,1650,1.0990684991336381,-1.85766106168546,0.03,1.0990684991336381,nan,1.1,14052,'egg',BETA,Angela,Saunders,68786,1948-05-10,'Colorado',0
92,1.58,0.07,0.7720496412088028,1.5773630412988082,1048,1.5773630412988082,-2.5488172908280466,0.03,1.5773630412988082,2.502258215057547,1.58,14933,'egg',ALPHA,Amber,Murphy,00535,1975-06-06,nan,1
93,0.5,0.07,0.26028124984038686,nan,1415,0.4981191413817908,-0.8797193188046393,0.03,0.4981191413817908,-1.1775693234049858,0.5,25683,'seed',ALPHA,Grant,Martinez,34952,1960-01-06,'Louisiana',0
94,0.62,0.07,0.32024808874587707,0.6210071728024692,2451,0.6210071728024692,-1.0774666439353302,0.03,0.6210071728024692,-0.9609535968376419,0.62,16665,'seed',BETA,John,Wilson,90335,1981-09-04,'Iowa',0
95,0.58,0.07,0.298115514259403,0.5754714375094604,2204,0.5754714375094604,-1.0045914249460755,0.03,0.5754714375094604,-1.0517228572458017,0.58,28911,'egg',THETA,Amanda,Price,11337,1930-08-17,'Hawaii',0
96,0.48,0.07,0.23327328117698398,0.47649237895550145,2472,0.47649237895550145,-0.7701837425472519,0.03,0.47649237895550145,nan,0.48,21848,'seed',BETA,Christopher,Kennedy,59342,1925-05-23,'Florida',1
97,0.45,0.07,0.22241184366529107,0.453919538644721,1298,0.453919538644721,-0.7345581191162992,0.03,0.453919538644721,0.6916194550416019,0.45,16170,'seed',ALPHA,Daniel,Morales,95998,1911-11-19,'North Carolina',1
98,0.24,0.07,0.13348890949082637,0.2407554327997464,1398,0.2407554327997464,-0.46010921199930743,0.03,0.2407554327997464,-1.4873964092219571,0.24,18615,'seed',BETA,Michael,Kelley,19514,1960-07-15,'Iowa',0
99,0.06,0.07,0.0287397322093185,0.05868037923109874,2823,0.05868037923109874,-0.0949030019619479,0.03,0.05868037923109874,0.09090507867580488,0.06,26281,'seed',THETA,Samuel,Graham,82240,1946-11-05,'Mississippi',1
100,0.46,0.07,0.22414718830447466,0.4595393038236009,2679,0.4595393038236009,-0.7390276561798004,0.03,0.4595393038236009,0.8218071912769827,0.46,21248,'egg',ALPHA,Gina,Clark,57499,1940-06-28,nan,1
101,0.44,0.07,0.21592650747955106,0.44347006242329284,2939,0.44347006242329284,-0.7114471960217545,0.03,0.44347006242329284,0.8387786980134637,0.44,25633,'seed',THETA,Daniel,Mckinney,68827,1998-08-25,'Kentucky',1
102,0.19,0.07,0.10860648379274707,0.19140835976624782,1967,0.19140835976624782,-0.37705866262480037,0.03,0.19140835976624782,-1.478576231635643,0.19,18471,'seed',THETA,Henry,Miller,65556,1959-01-03,'Rhode Island',0
103,0.65,0.07,0.31539839359447747,0.6459198460475185,1785,0.6459198460475185,-1.0403135867145807,0.03,0.6459198460475185,1.1143494112779417,0.65,14249,'egg',THETA,Beth,Martinez,04888,1936-02-05,'Rhode Island',1
104,1.09,0.07,0.5499847944868449,1.088439602684913,2171,1.088439602684913,-1.8370886785947893,0.03,1.088439602684913,-0.3328127376840042,1.09,11755,'seed',THETA,Marcus,Cisneros,28205,2021-12-05,'Ohio',0
105,1.37,0.07,0.6726309599390377,1.372915508535617,1130,1.372915508535617,-2.221405533046899,0.03,1.372915508535617,nan,1.37,11049,'egg',BETA,Cathy,Barron,02738,1947-10-15,'Montana',1
106,0.84,0.07,0.4271017461809932,0.8377621183578398,2269,0.8377621183578398,-1.4311743779192962,0.03,0.8377621183578398,-0.7080828415264937,0.84,20149,'seed',BETA,Benjamin,Roberts,73814,2017-03-20,'Washington',0
107,0.44,0.07,0.23250874274409564,0.44177384271997205,2764,0.44177384271997205,-0.7877915295487539,0.03,0.44177384271997205,-1.243783974468926,0.44,18009,'seed',ALPHA,Anthony,White,75884,1958-12-14,'North Dakota',0
